id,period_id,number,color,scraped_at
6329,20250827100010069,4,RED,2025-08-27 01:09:43.251226+00
6330,20250827100010070,4,RED,2025-08-27 01:10:45.967194+00
6331,20250827100010071,2,RED,2025-08-27 01:11:49.006709+00
6332,20250827100010072,9,GREEN,2025-08-27 01:12:51.670893+00
6333,20250827100010073,0,VIOLET,2025-08-27 01:13:54.39533+00
6334,20250827100010075,4,RED,2025-08-27 01:14:57.646262+00
6335,20250827100010074,4,RED,2025-08-27 01:14:57.646287+00
6336,20250827100010076,9,GREEN,2025-08-27 01:16:00.514728+00
6337,20250827100010077,9,GREEN,2025-08-27 01:17:03.376577+00
6338,20250827100010078,3,GREEN,2025-08-27 01:18:06.127464+00
6339,20250827100010079,5,VIOLET,2025-08-27 01:19:09.014973+00
6340,20250827100010080,0,VIOLET,2025-08-27 01:20:11.81682+00
6341,20250827100010081,3,GREEN,2025-08-27 01:21:14.607797+00
6342,20250827100010082,2,RED,2025-08-27 01:22:17.473483+00
6343,20250827100010083,3,GREEN,2025-08-27 01:23:20.295543+00
6344,20250827100010084,9,GREEN,2025-08-27 01:24:23.152098+00
6345,20250827100010085,8,RED,2025-08-27 01:25:26.203256+00
6346,20250827100010086,4,RED,2025-08-27 01:26:30.412428+00
6347,20250827100010087,8,RED,2025-08-27 01:27:34.895533+00
6348,20250827100010088,7,GREEN,2025-08-27 01:28:38.374109+00
6349,20250827100010089,8,RED,2025-08-27 01:29:42.25399+00
6350,20250827100010090,9,GREEN,2025-08-27 01:30:45.532131+00
6351,20250827100010091,8,RED,2025-08-27 01:31:48.68395+00
6352,20250827100010092,5,VIOLET,2025-08-27 01:32:51.809349+00
6353,20250827100010093,3,GREEN,2025-08-27 01:33:54.642609+00
6354,20250827100010095,8,RED,2025-08-27 01:34:57.5406+00
6355,20250827100010094,2,RED,2025-08-27 01:34:57.540623+00
6356,20250827100010096,5,VIOLET,2025-08-27 01:36:01.516161+00
6357,20250827100010097,4,RED,2025-08-27 01:37:04.590098+00
6358,20250827100010098,8,RED,2025-08-27 01:38:07.586063+00
6359,20250827100010099,1,GREEN,2025-08-27 01:39:10.314127+00
6360,20250827100010100,8,RED,2025-08-27 01:40:13.104855+00
6361,20250827100010101,7,GREEN,2025-08-27 01:41:15.870644+00
6362,20250827100010102,0,VIOLET,2025-08-27 01:42:18.804292+00
6363,20250827100010103,4,RED,2025-08-27 01:43:21.613505+00
6364,20250827100010104,9,GREEN,2025-08-27 01:44:24.594306+00
6365,20250827100010105,0,VIOLET,2025-08-27 01:45:27.387465+00
6366,20250827100010106,1,GREEN,2025-08-27 01:46:30.401496+00
6367,20250827100010107,9,GREEN,2025-08-27 01:47:33.320494+00
6368,20250827100010108,9,GREEN,2025-08-27 01:48:36.146908+00
6369,20250827100010109,4,RED,2025-08-27 01:49:39.017465+00
6370,20250827100010110,7,GREEN,2025-08-27 01:50:41.886485+00
6371,20250827100010111,2,RED,2025-08-27 01:51:44.625263+00
6372,20250827100010112,9,GREEN,2025-08-27 01:52:47.504185+00
6373,20250827100010113,5,VIOLET,2025-08-27 01:53:50.48384+00
6374,20250827100010114,4,RED,2025-08-27 01:54:53.340043+00
6375,20250827100010115,7,GREEN,2025-08-27 01:55:56.471827+00
6376,20250827100010117,3,GREEN,2025-08-27 01:57:00.545521+00
6377,20250827100010116,0,VIOLET,2025-08-27 01:57:00.545542+00
6378,20250827100010118,6,RED,2025-08-27 01:58:05.847837+00
6379,20250827100010119,0,VIOLET,2025-08-27 01:59:08.692456+00
6380,20250827100010120,5,VIOLET,2025-08-27 02:00:11.703917+00
6381,20250827100010121,5,VIOLET,2025-08-27 02:01:15.126308+00
6382,20250827100010122,5,VIOLET,2025-08-27 02:02:18.206414+00
6383,20250827100010123,6,RED,2025-08-27 02:03:21.609268+00
6384,20250827100010124,9,GREEN,2025-08-27 02:04:25.148322+00
6385,20250827100010125,6,RED,2025-08-27 02:05:29.398119+00
6386,20250827100010126,8,RED,2025-08-27 02:06:33.448392+00
6387,20250827100010127,6,RED,2025-08-27 02:07:37.400632+00
6388,20250827100010128,4,RED,2025-08-27 02:08:40.958876+00
6389,20250827100010129,1,GREEN,2025-08-27 02:09:43.943629+00
6390,20250827100010130,2,RED,2025-08-27 02:10:46.845459+00
6391,20250827100010131,1,GREEN,2025-08-27 02:11:49.658484+00
6392,20250827100010132,9,GREEN,2025-08-27 02:12:52.442395+00
6393,20250827100010133,3,GREEN,2025-08-27 02:13:55.640204+00
6394,20250827100010135,6,RED,2025-08-27 02:14:58.597144+00
6395,20250827100010134,7,GREEN,2025-08-27 02:14:58.597169+00
6396,20250827100010136,3,GREEN,2025-08-27 02:16:01.501357+00
6397,20250827100010137,6,RED,2025-08-27 02:17:04.201742+00
6398,20250827100010138,4,RED,2025-08-27 02:18:07.006206+00
6399,20250827100010139,1,GREEN,2025-08-27 02:19:09.699186+00
6400,20250827100010140,7,GREEN,2025-08-27 02:20:12.429555+00
6401,20250827100010141,6,RED,2025-08-27 02:21:15.17486+00
6402,20250827100010142,4,RED,2025-08-27 02:22:17.927906+00
6403,20250827100010143,5,VIOLET,2025-08-27 02:23:20.772562+00
6404,20250827100010144,4,RED,2025-08-27 02:24:23.496874+00
6405,20250827100010145,1,GREEN,2025-08-27 02:25:26.216782+00
6406,20250827100010146,1,GREEN,2025-08-27 02:26:29.045765+00
6407,20250827100010147,5,VIOLET,2025-08-27 02:27:31.891461+00
6408,20250827100010148,7,GREEN,2025-08-27 02:28:34.607795+00
6409,20250827100010149,1,GREEN,2025-08-27 02:29:37.289374+00
6410,20250827100010150,6,RED,2025-08-27 02:30:40.056536+00
6411,20250827100010151,4,RED,2025-08-27 02:31:42.894371+00
6412,20250827100010152,0,VIOLET,2025-08-27 02:32:45.997272+00
6413,20250827100010153,8,RED,2025-08-27 02:33:48.776862+00
6414,20250827100010154,0,VIOLET,2025-08-27 02:34:51.667677+00
6415,20250827100010155,5,VIOLET,2025-08-27 02:35:54.443221+00
6416,20250827100010156,1,GREEN,2025-08-27 02:36:57.20892+00
6417,20250827100010158,1,GREEN,2025-08-27 02:37:59.99867+00
6418,20250827100010157,4,RED,2025-08-27 02:37:59.998696+00
6419,20250827100010159,9,GREEN,2025-08-27 02:39:02.953511+00
6420,20250827100010160,3,GREEN,2025-08-27 02:40:05.723261+00
6421,20250827100010161,9,GREEN,2025-08-27 02:41:08.666227+00
6422,20250827100010162,4,RED,2025-08-27 02:42:11.418663+00
6423,20250827100010163,5,VIOLET,2025-08-27 02:43:14.097861+00
6424,20250827100010164,0,VIOLET,2025-08-27 02:44:16.861593+00
6425,20250827100010165,5,VIOLET,2025-08-27 02:45:19.611191+00
6426,20250827100010166,4,RED,2025-08-27 02:46:22.449269+00
6427,20250827100010167,9,GREEN,2025-08-27 02:47:25.222657+00
6428,20250827100010168,1,GREEN,2025-08-27 02:48:27.915096+00
6429,20250827100010169,7,GREEN,2025-08-27 02:49:30.69405+00
6430,20250827100010170,5,VIOLET,2025-08-27 02:50:33.555446+00
6431,20250827100010171,7,GREEN,2025-08-27 02:51:36.266075+00
6432,20250827100010172,6,RED,2025-08-27 02:52:39.002651+00
6433,20250827100010173,1,GREEN,2025-08-27 02:53:41.79146+00
6434,20250827100010174,8,RED,2025-08-27 02:54:44.57504+00
6435,20250827100010175,8,RED,2025-08-27 02:55:47.428193+00
6436,20250827100010176,1,GREEN,2025-08-27 02:56:50.470823+00
6437,20250827100010177,4,RED,2025-08-27 02:57:53.245448+00
6438,20250827100010178,0,VIOLET,2025-08-27 02:58:56.050826+00
6439,20250827100010180,2,RED,2025-08-27 02:59:58.813929+00
6440,20250827100010179,8,RED,2025-08-27 02:59:58.813954+00
6441,20250827100010181,5,VIOLET,2025-08-27 03:01:01.839006+00
6442,20250827100010182,1,GREEN,2025-08-27 03:02:04.707341+00
6443,20250827100010183,4,RED,2025-08-27 03:03:07.730151+00
6444,20250827100010184,7,GREEN,2025-08-27 03:04:10.503503+00
6445,20250827100010185,1,GREEN,2025-08-27 03:05:13.870686+00
6446,20250827100010186,1,GREEN,2025-08-27 03:06:16.837467+00
6447,20250827100010187,0,VIOLET,2025-08-27 03:07:19.673454+00
6448,20250827100010188,2,RED,2025-08-27 03:08:22.490766+00
6449,20250827100010189,4,RED,2025-08-27 03:09:25.436401+00
6450,20250827100010190,7,GREEN,2025-08-27 03:10:28.480564+00
6451,20250827100010191,1,GREEN,2025-08-27 03:11:31.543453+00
6452,20250827100010192,3,GREEN,2025-08-27 03:12:34.461389+00
6453,20250827100010193,1,GREEN,2025-08-27 03:13:37.146062+00
6454,20250827100010194,2,RED,2025-08-27 03:14:39.89137+00
6455,20250827100010195,7,GREEN,2025-08-27 03:15:42.851469+00
6456,20250827100010196,8,RED,2025-08-27 03:16:45.660397+00
6457,20250827100010197,9,GREEN,2025-08-27 03:17:48.423135+00
6458,20250827100010198,5,VIOLET,2025-08-27 03:18:51.259244+00
6459,20250827100010199,0,VIOLET,2025-08-27 03:19:53.974182+00
6460,20250827100010200,7,GREEN,2025-08-27 03:20:56.804941+00
6461,20250827100010202,5,VIOLET,2025-08-27 03:21:59.651094+00
6462,20250827100010201,4,RED,2025-08-27 03:21:59.651112+00
6463,20250827100010203,5,VIOLET,2025-08-27 03:23:03.612011+00
6464,20250827100010204,2,RED,2025-08-27 03:24:06.483313+00
6465,20250827100010205,5,VIOLET,2025-08-27 03:25:09.275127+00
6466,20250827100010206,8,RED,2025-08-27 03:26:11.969952+00
6467,20250827100010207,2,RED,2025-08-27 03:27:14.875219+00
6468,20250827100010208,0,VIOLET,2025-08-27 03:28:17.588375+00
6469,20250827100010209,8,RED,2025-08-27 03:29:20.302598+00
6470,20250827100010210,8,RED,2025-08-27 03:30:23.164793+00
6471,20250827100010211,9,GREEN,2025-08-27 03:31:25.930687+00
6472,20250827100010212,3,GREEN,2025-08-27 03:32:28.662136+00
